Genus,Institution,Specimen,ep_02,ep_04,ep_06,ep_08,ep_10,ep_12
Tupaia,UMMZ-118389,M557-475,0.02414,0.04528,0.07093,0.09579,0.119,0.1398
Tupaia,UMMZ-123395,M561-479,0.03214,0.05651,0.08504,0.1122,0.1352,0.1567
Tupaia,UMMZ-58978,M593-511,0.02603,0.04552,0.06906,0.09286,0.1152,0.1373
Tupaia,UMMZ-58979,M585-503,0.0276,0.0513,0.08011,0.1075,0.1325,0.1541
Tupaia,UMMZ-58980,M601-519,0.02652,0.04875,0.07646,0.1034,0.1273,0.1482
Tupaia,UMMZ-58981,M589-507,0.03232,0.0499,0.07401,0.09813,0.1204,0.141
Tupaia,UMMZ-58982,M581-499,0.02641,0.05098,0.08051,0.1085,0.1322,0.1523
Tupaia,UMMZ-58984,M597-515,0.03646,0.05785,0.08586,0.1135,0.138,0.1583
Varecia,AMNH-M-100512,M543-463,0.0178,0.0336,0.05268,0.07125,0.08996,0.11
Varecia,AMNH-M-100513,M527-447,0.01811,0.03424,0.05449,0.07438,0.09295,0.113
Varecia,AMNH-M-100514,M523-443,0.01721,0.03252,0.05088,0.06907,0.08575,0.1032
Varecia,AMNH-M-18041,M535-455,0.02098,0.03938,0.05982,0.07926,0.09648,0.1125
Varecia,AMNH-M-245092,M531-451,0.01919,0.03894,0.06041,0.08116,0.09961,0.1184
Varecia,USNM-084382,M549-467,0.01985,0.03678,0.05509,0.07364,0.09261,0.1117
Varecia,USNM-084383,M625-543,0.02485,0.04383,0.06499,0.0861,0.1062,0.126
